STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010528,0.09,0.0,0.0,59,67,50
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010529,0.00,0.0,0.0,53,62,44
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010530,0.00,0.0,0.0,53,60,45
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010531,0.44,0.0,0.0,53,62,44
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010601,0.43,0.0,0.0,57,65,49
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010602,0.02,0.0,0.0,53,56,50
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010603,0.00,0.0,0.0,52,55,49
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010604,0.00,0.0,0.0,51,55,46
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010605,0.64,0.0,0.0,53,58,47
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010606,0.00,0.0,0.0,57,62,52
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010607,0.00,0.0,0.0,59,68,50
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010608,0.00,0.0,0.0,61,74,48
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010609,0.00,0.0,0.0,66,81,50
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010610,0.00,0.0,0.0,74,83,65
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010611,0.35,0.0,0.0,76,87,64
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010612,0.16,0.0,0.0,75,86,63
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010613,0.00,0.0,0.0,74,91,68
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010614,0.31,0.0,0.0,80,91,68
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010615,0.04,0.0,0.0,70,77,63
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010616,0.00,0.0,0.0,71,86,55
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010617,0.05,0.0,0.0,71,87,54
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010618,0.40,0.0,0.0,78,91,64
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010619,0.02,0.0,0.0,75,84,65
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010620,0.00,0.0,0.0,70,76,63
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010621,0.17,0.0,0.0,62,69,55
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010622,0.02,0.0,0.0,60,69,51
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010623,0.00,0.0,0.0,62,73,50
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010624,0.00,0.0,0.0,66,81,50
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010625,0.00,0.0,0.0,72,85,58
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010626,0.00,0.0,0.0,74,86,61
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010627,0.00,0.0,0.0,75,87,63
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010628,0.00,0.0,0.0,75,86,63
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010629,0.00,0.0,0.0,77,87,66
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010630,0.00,0.0,0.0,78,88,68
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010701,0.00,0.0,0.0,64,78,50
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010702,0.00,0.0,0.0,64,75,49
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010703,0.07,0.0,0.0,72,79,64
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010704,0.00,0.0,0.0,78,88,68
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010705,0.00,0.0,0.0,64,73,54
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010706,0.00,0.0,0.0,66,81,50
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010707,0.17,0.0,0.0,74,86,62
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010708,0.00,0.0,0.0,79,89,68
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010709,0.00,0.0,0.0,79,91,66
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010710,0.00,0.0,0.0,81,93,68
